Test,CFR,JDGUI,Fernflower
abruptControlFlow,-,-,-
builder,+,+,+
classDelegation,-,-,-
classWithMethodsAndFields,-,-,-
companionObject,-,-,-
dataClass,+,+,+
destructuring,-,-,-
elvis,+,+,+
extension,+,+,+
generic,-,-,-
genericsInOutWhere,-,-,-
higherOrderFunction,+,+,+
ifElseOperator,+,+,+
labeledBlocks,-,-,-
lazyInitialization,-,-,-
list,+,+,+
loops,+,+,+
nothing,+,+,+
nullValueSafety,+,+,+
operatorOverloading,-,-,-
propertyDelegation,-,-,-
recursion,+,+,+
reified,+,+,+
result,-,-,-
safeCast,+,+,+
scopeFunctions,-,-,-
sequenceProcessing,+,+,+
simpleException,+,+,+
simpleLambda,+,+,+
simpleMethod,+,+,+
singleton,-,-,-
smartCast,+,+,+
tailRecursion,+,-,+
